Region,County,First Dose,Series Complete,Report as of
Central New York,Onondaga,370368,339937,10/18/2022
Capital Region,Albany,254586,231694,10/18/2022
Mohawk Valley,Oneida,156781,145509,10/18/2022
Western New York,Niagara,151503,142141,10/18/2022
New York City,New York,1631704,1401348,10/18/2022
Long Island,Nassau,1255062,1143017,10/18/2022
Mohawk Valley,Montgomery,35530,33511,10/18/2022
Finger Lakes,Monroe,587463,546747,10/18/2022
Central New York,Madison,54797,51230,10/18/2022
Finger Lakes,Livingston,40633,38483,10/18/2022
North Country,Lewis,14530,13810,10/18/2022
New York City,Kings,2095645,1887967,10/18/2022
North Country,Jefferson,75952,63741,10/18/2022
Mohawk Valley,Herkimer,37121,34803,10/18/2022
North Country,Hamilton,3554,3296,10/18/2022
Capital Region,Greene,32508,29566,10/18/2022
Finger Lakes,Genesee,37972,35808,10/18/2022
Mohawk Valley,Fulton,30351,28594,10/18/2022
North Country,Franklin,31355,29296,10/18/2022
North Country,Essex,27934,26055,10/18/2022
Western New York,Erie,718496,666545,10/18/2022
Mid-Hudson,Dutchess,232517,209326,10/18/2022
Southern Tier,Delaware,26720,24749,10/18/2022
Central New York,Cortland,29919,28206,10/18/2022
Capital Region,Columbia,46185,42119,10/18/2022
North Country,Clinton,59622,55897,10/18/2022
Southern Tier,Chenango,31479,29636,10/18/2022
Southern Tier,Chemung,49606,46564,10/18/2022
Western New York,Chautauqua,82235,75694,10/18/2022
Central New York,Cayuga,50039,46746,10/18/2022
Western New York,Cattaraugus,44201,40989,10/18/2022
Southern Tier,Broome,135917,126566,10/18/2022
New York City,Bronx,1222959,1087351,10/18/2022
Western New York,Niagara,151482,142123,10/17/2022
Finger Lakes,Yates,14753,13769,10/17/2022
Finger Lakes,Wyoming,23497,22214,10/17/2022
Mid-Hudson,Westchester,885782,795847,10/17/2022
Finger Lakes,Wayne,65831,61984,10/17/2022
Capital Region,Washington,42024,39895,10/17/2022
Capital Region,Warren,52453,49427,10/17/2022
Mid-Hudson,Ulster,148582,135982,10/17/2022
Southern Tier,Tompkins,89063,81080,10/17/2022
Southern Tier,Tioga,25749,24382,10/17/2022
Mid-Hudson,Sullivan,51454,46553,10/17/2022
Long Island,Suffolk,1243685,1129558,10/17/2022
Southern Tier,Steuben,56305,52894,10/17/2022
North Country,St. Lawrence,74751,69493,10/17/2022
Finger Lakes,Seneca,19723,18465,10/17/2022
Southern Tier,Schuyler,11312,10480,10/17/2022
Mohawk Valley,Schoharie,19508,18447,10/17/2022
Capital Region,Schenectady,136757,126284,10/17/2022
Capital Region,Saratoga,189066,176479,10/17/2022
Mid-Hudson,Rockland,234121,210110,10/17/2022
New York City,Richmond,392379,360068,10/17/2022
Capital Region,Rensselaer,119722,110700,10/17/2022
New York City,Queens,2206018,1983955,10/17/2022
Mid-Hudson,Putnam,83655,74892,10/17/2022
Mohawk Valley,Otsego,40664,37976,10/17/2022
Central New York,Oswego,79807,75064,10/17/2022
Finger Lakes,Orleans,24428,22982,10/17/2022
Mid-Hudson,Orange,265941,241600,10/17/2022
Finger Lakes,Ontario,85620,80373,10/17/2022
Central New York,Onondaga,370281,339862,10/17/2022
Mohawk Valley,Oneida,156757,145485,10/17/2022
New York City,New York,1631113,1400841,10/17/2022
Long Island,Nassau,1254907,1142847,10/17/2022
Mohawk Valley,Montgomery,35528,33506,10/17/2022
Finger Lakes,Monroe,587360,546613,10/17/2022
Central New York,Madison,54788,51223,10/17/2022
Finger Lakes,Livingston,40630,38480,10/17/2022
North Country,Lewis,14530,13810,10/17/2022
New York City,Kings,2095233,1887591,10/17/2022
North Country,Jefferson,75938,63736,10/17/2022
Mohawk Valley,Herkimer,37119,34796,10/17/2022
North Country,Hamilton,3554,3294,10/17/2022
Capital Region,Greene,32503,29562,10/17/2022
Finger Lakes,Genesee,37970,35803,10/17/2022
Mohawk Valley,Fulton,30347,28590,10/17/2022
North Country,Franklin,31354,29294,10/17/2022
North Country,Essex,27928,26050,10/17/2022
Western New York,Erie,718333,666417,10/17/2022
Mid-Hudson,Dutchess,232478,209292,10/17/2022
Southern Tier,Delaware,26717,24748,10/17/2022
Central New York,Cortland,29917,28201,10/17/2022
Capital Region,Columbia,46178,42112,10/17/2022
North Country,Clinton,59612,55891,10/17/2022
Southern Tier,Chenango,31474,29630,10/17/2022
Southern Tier,Chemung,49602,46555,10/17/2022
Western New York,Chautauqua,82213,75679,10/17/2022
Central New York,Cayuga,50037,46744,10/17/2022
Western New York,Cattaraugus,44189,40984,10/17/2022
Southern Tier,Broome,135899,126542,10/17/2022
New York City,Bronx,1222738,1087182,10/17/2022
Western New York,Allegany,23687,22100,10/17/2022
Capital Region,Albany,254521,231652,10/17/2022
Mohawk Valley,Oneida,156748,145463,10/16/2022
Finger Lakes,Yates,14749,13767,10/16/2022
Finger Lakes,Wyoming,23495,22213,10/16/2022
Mid-Hudson,Westchester,885637,795698,10/16/2022
Finger Lakes,Wayne,65825,61978,10/16/2022
Capital Region,Washington,42018,39892,10/16/2022
Capital Region,Warren,52450,49418,10/16/2022
Mid-Hudson,Ulster,148533,135963,10/16/2022
Southern Tier,Tompkins,89054,81067,10/16/2022
Southern Tier,Tioga,25747,24380,10/16/2022
Mid-Hudson,Sullivan,51450,46544,10/16/2022
Long Island,Suffolk,1243595,1129456,10/16/2022
Southern Tier,Steuben,56301,52891,10/16/2022
North Country,St. Lawrence,74738,69485,10/16/2022
Finger Lakes,Seneca,19721,18464,10/16/2022
Southern Tier,Schuyler,11312,10480,10/16/2022
Mohawk Valley,Schoharie,19507,18445,10/16/2022
Capital Region,Schenectady,136748,126273,10/16/2022
Capital Region,Saratoga,189037,176452,10/16/2022
Mid-Hudson,Rockland,234105,210098,10/16/2022
New York City,Richmond,392307,360003,10/16/2022
Capital Region,Rensselaer,119713,110690,10/16/2022
New York City,Queens,2205564,1983552,10/16/2022
Mid-Hudson,Putnam,83647,74887,10/16/2022
Mohawk Valley,Otsego,40663,37975,10/16/2022
Central New York,Oswego,79804,75060,10/16/2022
Finger Lakes,Orleans,24427,22979,10/16/2022
Mid-Hudson,Orange,265911,241569,10/16/2022
Finger Lakes,Ontario,85610,80364,10/16/2022
Central New York,Onondaga,370254,339821,10/16/2022
Western New York,Niagara,151466,142112,10/16/2022
New York City,New York,1630233,1400145,10/16/2022
Long Island,Nassau,1254796,1142760,10/16/2022
Mohawk Valley,Montgomery,35526,33499,10/16/2022
Finger Lakes,Monroe,587283,546539,10/16/2022
Central New York,Madison,54783,51219,10/16/2022
Finger Lakes,Livingston,40627,38476,10/16/2022
North Country,Lewis,14530,13810,10/16/2022
New York City,Kings,2094659,1887080,10/16/2022
North Country,Jefferson,75932,63732,10/16/2022
Mohawk Valley,Herkimer,37119,34795,10/16/2022
North Country,Hamilton,3554,3294,10/16/2022
Capital Region,Greene,32500,29562,10/16/2022
Finger Lakes,Genesee,37968,35800,10/16/2022
Mohawk Valley,Fulton,30345,28586,10/16/2022
North Country,Franklin,31354,29292,10/16/2022
North Country,Essex,27925,26044,10/16/2022
Western New York,Erie,718243,666301,10/16/2022
Mid-Hudson,Dutchess,232459,209260,10/16/2022
Southern Tier,Delaware,26715,24745,10/16/2022
Central New York,Cortland,29915,28196,10/16/2022
Capital Region,Columbia,46176,42111,10/16/2022
North Country,Clinton,59606,55883,10/16/2022
Southern Tier,Chenango,31471,29629,10/16/2022
Southern Tier,Chemung,49597,46553,10/16/2022
Western New York,Chautauqua,82202,75659,10/16/2022
Central New York,Cayuga,50034,46740,10/16/2022
Western New York,Cattaraugus,44188,40981,10/16/2022
Southern Tier,Broome,135885,126524,10/16/2022
New York City,Bronx,1222499,1086979,10/16/2022
Western New York,Allegany,23685,22098,10/16/2022
Capital Region,Albany,254488,231624,10/16/2022
New York City,Bronx,1222493,1086972,10/15/2022
Finger Lakes,Yates,14748,13767,10/15/2022
Finger Lakes,Wyoming,23495,22213,10/15/2022
Mid-Hudson,Westchester,885631,795689,10/15/2022
Finger Lakes,Wayne,65825,61977,10/15/2022
Capital Region,Washington,42018,39892,10/15/2022
Capital Region,Warren,52450,49417,10/15/2022
Mid-Hudson,Ulster,148532,135961,10/15/2022
Southern Tier,Tompkins,89053,81067,10/15/2022
Southern Tier,Tioga,25747,24380,10/15/2022
Mid-Hudson,Sullivan,51449,46544,10/15/2022
Long Island,Suffolk,1243573,1129448,10/15/2022
Southern Tier,Steuben,56300,52890,10/15/2022
North Country,St. Lawrence,74738,69484,10/15/2022
Finger Lakes,Seneca,19721,18461,10/15/2022
Southern Tier,Schuyler,11312,10480,10/15/2022
Mohawk Valley,Schoharie,19507,18445,10/15/2022
Capital Region,Schenectady,136747,126271,10/15/2022
Capital Region,Saratoga,189035,176449,10/15/2022
Mid-Hudson,Rockland,234103,210097,10/15/2022
New York City,Richmond,392295,359993,10/15/2022
Capital Region,Rensselaer,119710,110680,10/15/2022
New York City,Queens,2205512,1983482,10/15/2022
Mid-Hudson,Putnam,83646,74887,10/15/2022
Mohawk Valley,Otsego,40663,37975,10/15/2022
Central New York,Oswego,79803,75060,10/15/2022
Finger Lakes,Orleans,24427,22979,10/15/2022
Mid-Hudson,Orange,265908,241567,10/15/2022
Finger Lakes,Ontario,85609,80363,10/15/2022
Central New York,Onondaga,370253,339819,10/15/2022
Western New York,Allegany,23685,22098,10/15/2022
Mohawk Valley,Oneida,156746,145463,10/15/2022
Capital Region,Albany,254480,231622,10/15/2022
Western New York,Niagara,151465,142111,10/15/2022
New York City,New York,1630178,1400098,10/15/2022
Long Island,Nassau,1254784,1142749,10/15/2022
Mohawk Valley,Montgomery,35525,33499,10/15/2022
Finger Lakes,Monroe,587274,546516,10/15/2022
Central New York,Madison,54783,51219,10/15/2022
Finger Lakes,Livingston,40625,38475,10/15/2022
North Country,Lewis,14530,13810,10/15/2022
New York City,Kings,2094606,1886991,10/15/2022
North Country,Jefferson,75931,63731,10/15/2022
Mohawk Valley,Herkimer,37119,34795,10/15/2022
North Country,Hamilton,3554,3294,10/15/2022
Capital Region,Greene,32497,29561,10/15/2022
Finger Lakes,Genesee,37968,35800,10/15/2022
Mohawk Valley,Fulton,30345,28586,10/15/2022
North Country,Franklin,31353,29291,10/15/2022
North Country,Essex,27925,26044,10/15/2022
Western New York,Erie,718236,666292,10/15/2022
Mid-Hudson,Dutchess,232457,209258,10/15/2022
Southern Tier,Delaware,26715,24745,10/15/2022
Central New York,Cortland,29915,28196,10/15/2022
Capital Region,Columbia,46175,42111,10/15/2022
North Country,Clinton,59605,55883,10/15/2022
Southern Tier,Chenango,31470,29629,10/15/2022
Southern Tier,Chemung,49596,46553,10/15/2022
Western New York,Chautauqua,82202,75659,10/15/2022
Central New York,Cayuga,50034,46740,10/15/2022
Western New York,Cattaraugus,44186,40980,10/15/2022
Southern Tier,Broome,135884,126524,10/15/2022
Capital Region,Albany,254475,231613,10/14/2022
Finger Lakes,Yates,14748,13767,10/14/2022
Finger Lakes,Wyoming,23495,22213,10/14/2022
Mid-Hudson,Westchester,885612,795664,10/14/2022
Finger Lakes,Wayne,65825,61973,10/14/2022
Capital Region,Washington,42018,39892,10/14/2022
Capital Region,Warren,52449,49417,10/14/2022
Mid-Hudson,Ulster,148528,135956,10/14/2022
Southern Tier,Tompkins,89052,81067,10/14/2022
Southern Tier,Tioga,25747,24380,10/14/2022
Mid-Hudson,Sullivan,51442,46543,10/14/2022
Long Island,Suffolk,1243550,1129430,10/14/2022
Southern Tier,Steuben,56299,52889,10/14/2022
North Country,St. Lawrence,74735,69481,10/14/2022
Finger Lakes,Seneca,19721,18461,10/14/2022
Southern Tier,Schuyler,11312,10480,10/14/2022
Mohawk Valley,Schoharie,19506,18445,10/14/2022
Capital Region,Schenectady,136744,126269,10/14/2022
Capital Region,Saratoga,189025,176445,10/14/2022
Mid-Hudson,Rockland,234099,210090,10/14/2022
New York City,Richmond,392279,359974,10/14/2022
Capital Region,Rensselaer,119707,110676,10/14/2022
New York City,Queens,2205414,1983320,10/14/2022
Mid-Hudson,Putnam,83643,74886,10/14/2022
Mohawk Valley,Otsego,40662,37964,10/14/2022
Central New York,Oswego,79798,75059,10/14/2022
Finger Lakes,Orleans,24427,22979,10/14/2022
Mid-Hudson,Orange,265904,241563,10/14/2022
Finger Lakes,Ontario,85607,80360,10/14/2022
Central New York,Onondaga,370250,339806,10/14/2022
Mohawk Valley,Oneida,156738,145462,10/14/2022
Western New York,Niagara,151462,142108,10/14/2022
New York City,New York,1630076,1400023,10/14/2022
Long Island,Nassau,1254753,1142712,10/14/2022
Mohawk Valley,Montgomery,35524,33498,10/14/2022
Finger Lakes,Monroe,587256,546461,10/14/2022
Central New York,Madison,54782,51218,10/14/2022
Finger Lakes,Livingston,40625,38475,10/14/2022
North Country,Lewis,14530,13810,10/14/2022
New York City,Kings,2094473,1886851,10/14/2022
North Country,Jefferson,75927,63727,10/14/2022
Mohawk Valley,Herkimer,37118,34793,10/14/2022
North Country,Hamilton,3554,3294,10/14/2022
Capital Region,Greene,32497,29559,10/14/2022
Finger Lakes,Genesee,37967,35796,10/14/2022
Mohawk Valley,Fulton,30345,28586,10/14/2022
North Country,Franklin,31353,29290,10/14/2022
North Country,Essex,27925,26042,10/14/2022
Western New York,Erie,718224,666255,10/14/2022
Mid-Hudson,Dutchess,232454,209252,10/14/2022
Southern Tier,Delaware,26712,24741,10/14/2022
Central New York,Cortland,29915,28196,10/14/2022
Capital Region,Columbia,46173,42110,10/14/2022
North Country,Clinton,59603,55878,10/14/2022
Southern Tier,Chenango,31470,29629,10/14/2022
Southern Tier,Chemung,49596,46552,10/14/2022
Western New York,Chautauqua,82201,75659,10/14/2022
Central New York,Cayuga,50033,46740,10/14/2022
Western New York,Cattaraugus,44185,40980,10/14/2022
Southern Tier,Broome,135882,126524,10/14/2022
New York City,Bronx,1222448,1086935,10/14/2022
Western New York,Allegany,23685,22098,10/14/2022
Mohawk Valley,Oneida,156729,145431,10/13/2022
Finger Lakes,Yates,14747,13765,10/13/2022
Finger Lakes,Wyoming,23493,22211,10/13/2022
Mid-Hudson,Westchester,885481,795522,10/13/2022
Finger Lakes,Wayne,65820,61965,10/13/2022
Capital Region,Washington,42011,39888,10/13/2022
Capital Region,Warren,52445,49409,10/13/2022
Mid-Hudson,Ulster,148521,135945,10/13/2022
Southern Tier,Tompkins,89026,81048,10/13/2022
Southern Tier,Tioga,25747,24379,10/13/2022
Mid-Hudson,Sullivan,51442,46541,10/13/2022
Long Island,Suffolk,1243478,1129355,10/13/2022
Southern Tier,Steuben,56291,52880,10/13/2022
North Country,St. Lawrence,74724,69469,10/13/2022
Finger Lakes,Seneca,19718,18459,10/13/2022
Southern Tier,Schuyler,11311,10480,10/13/2022
Mohawk Valley,Schoharie,19504,18443,10/13/2022
Capital Region,Schenectady,136733,126254,10/13/2022
Capital Region,Saratoga,189008,176426,10/13/2022
Mid-Hudson,Rockland,234081,210070,10/13/2022
New York City,Richmond,392234,359925,10/13/2022
Capital Region,Rensselaer,119698,110669,10/13/2022
New York City,Queens,2205065,1983025,10/13/2022
Mid-Hudson,Putnam,83635,74877,10/13/2022
Mohawk Valley,Otsego,40654,37955,10/13/2022
Central New York,Oswego,79792,75053,10/13/2022
Finger Lakes,Orleans,24424,22979,10/13/2022
Mid-Hudson,Orange,265880,241554,10/13/2022
Finger Lakes,Ontario,85601,80350,10/13/2022
Central New York,Onondaga,370210,339766,10/13/2022
Western New York,Niagara,151449,142098,10/13/2022
New York City,New York,1629574,1399488,10/13/2022
Long Island,Nassau,1254672,1142624,10/13/2022
Mohawk Valley,Montgomery,35519,33496,10/13/2022
Finger Lakes,Monroe,587146,546350,10/13/2022
Central New York,Madison,54781,51215,10/13/2022
Finger Lakes,Livingston,40624,38473,10/13/2022
North Country,Lewis,14529,13808,10/13/2022
New York City,Kings,2094099,1886319,10/13/2022
North Country,Jefferson,75916,63715,10/13/2022
Mohawk Valley,Herkimer,37115,34787,10/13/2022
North Country,Hamilton,3554,3294,10/13/2022
Capital Region,Greene,32494,29553,10/13/2022
Finger Lakes,Genesee,37965,35795,10/13/2022
Mohawk Valley,Fulton,30343,28584,10/13/2022
North Country,Franklin,31352,29286,10/13/2022
North Country,Essex,27920,26036,10/13/2022
Western New York,Erie,718142,666171,10/13/2022
Mid-Hudson,Dutchess,232399,209220,10/13/2022
Southern Tier,Delaware,26710,24737,10/13/2022
Central New York,Cortland,29909,28190,10/13/2022
Capital Region,Columbia,46171,42102,10/13/2022
North Country,Clinton,59599,55871,10/13/2022
Southern Tier,Chenango,31470,29626,10/13/2022
Southern Tier,Chemung,49590,46546,10/13/2022
Western New York,Chautauqua,82195,75656,10/13/2022
Central New York,Cayuga,50026,46736,10/13/2022
Western New York,Cattaraugus,44184,40978,10/13/2022
Southern Tier,Broome,135871,126513,10/13/2022
New York City,Bronx,1222274,1086774,10/13/2022
Western New York,Allegany,23684,22097,10/13/2022
Capital Region,Albany,254449,231573,10/13/2022
Western New York,Allegany,23682,22095,10/12/2022
Finger Lakes,Yates,14742,13759,10/12/2022
Finger Lakes,Wyoming,23490,22206,10/12/2022
Mid-Hudson,Westchester,885319,795355,10/12/2022
Finger Lakes,Wayne,65813,61958,10/12/2022
Capital Region,Washington,42007,39882,10/12/2022
Capital Region,Warren,52437,49401,10/12/2022
Mid-Hudson,Ulster,148501,135931,10/12/2022
Southern Tier,Tompkins,89005,81026,10/12/2022
Southern Tier,Tioga,25745,24374,10/12/2022
Mid-Hudson,Sullivan,51437,46536,10/12/2022
Long Island,Suffolk,1243388,1129240,10/12/2022
Southern Tier,Steuben,56283,52868,10/12/2022
North Country,St. Lawrence,74712,69458,10/12/2022
Finger Lakes,Seneca,19716,18457,10/12/2022
Southern Tier,Schuyler,11309,10478,10/12/2022
Mohawk Valley,Schoharie,19501,18439,10/12/2022
Capital Region,Schenectady,136714,126243,10/12/2022
Capital Region,Saratoga,188977,176394,10/12/2022
Mid-Hudson,Rockland,234070,210052,10/12/2022
New York City,Richmond,392157,359888,10/12/2022
Capital Region,Rensselaer,119680,110654,10/12/2022
New York City,Queens,2204748,1982802,10/12/2022
Mid-Hudson,Putnam,83631,74869,10/12/2022
Mohawk Valley,Otsego,40650,37946,10/12/2022
Central New York,Oswego,79780,75040,10/12/2022
Finger Lakes,Orleans,24420,22977,10/12/2022
Mid-Hudson,Orange,265847,241526,10/12/2022
Finger Lakes,Ontario,85596,80342,10/12/2022
Central New York,Onondaga,370156,339714,10/12/2022
Capital Region,Albany,254401,231526,10/12/2022
Mohawk Valley,Oneida,156716,145405,10/12/2022
Western New York,Niagara,151435,142078,10/12/2022
New York City,New York,1628954,1399030,10/12/2022
Long Island,Nassau,1254543,1142476,10/12/2022
Mohawk Valley,Montgomery,35517,33493,10/12/2022
Finger Lakes,Monroe,587063,546245,10/12/2022
Central New York,Madison,54778,51211,10/12/2022
Finger Lakes,Livingston,40619,38469,10/12/2022
North Country,Lewis,14529,13808,10/12/2022
New York City,Kings,2093666,1885962,10/12/2022
North Country,Jefferson,75908,63699,10/12/2022
Mohawk Valley,Herkimer,37113,34785,10/12/2022
North Country,Hamilton,3554,3294,10/12/2022
Capital Region,Greene,32489,29550,10/12/2022
Finger Lakes,Genesee,37963,35795,10/12/2022
Mohawk Valley,Fulton,30342,28583,10/12/2022
North Country,Franklin,31347,29280,10/12/2022
North Country,Essex,27918,26028,10/12/2022
Western New York,Erie,718038,666016,10/12/2022
Mid-Hudson,Dutchess,232370,209187,10/12/2022
Southern Tier,Delaware,26706,24732,10/12/2022
Central New York,Cortland,29906,28188,10/12/2022
Capital Region,Columbia,46163,42097,10/12/2022
North Country,Clinton,59594,55868,10/12/2022
Southern Tier,Chenango,31464,29624,10/12/2022
Southern Tier,Chemung,49583,46538,10/12/2022
Western New York,Chautauqua,82179,75638,10/12/2022
Central New York,Cayuga,50017,46728,10/12/2022
Western New York,Cattaraugus,44182,40976,10/12/2022
Southern Tier,Broome,135851,126490,10/12/2022
New York City,Bronx,1222051,1086606,10/12/2022
Mohawk Valley,Schoharie,19499,18436,10/11/2022
Finger Lakes,Yates,14741,13758,10/11/2022
Finger Lakes,Wyoming,23489,22204,10/11/2022
Mid-Hudson,Westchester,885209,795229,10/11/2022
Finger Lakes,Wayne,65802,61956,10/11/2022
Capital Region,Washington,42003,39872,10/11/2022
