Region,County,First Dose,Series Complete,Report as of
Finger Lakes,Monroe,593296,552305,03/16/2023
Central New York,Madison,55087,51497,03/16/2023
Finger Lakes,Livingston,40845,38657,03/16/2023
North Country,Lewis,14602,13879,03/16/2023
New York City,Kings,2126414,1914176,03/16/2023
North Country,Jefferson,76586,64319,03/16/2023
Mohawk Valley,Herkimer,37332,34987,03/16/2023
North Country,Hamilton,3569,3305,03/16/2023
Capital Region,Greene,32702,29744,03/16/2023
Finger Lakes,Genesee,38181,36038,03/16/2023
Mohawk Valley,Fulton,30513,28742,03/16/2023
North Country,Franklin,31529,29466,03/16/2023
North Country,Essex,28102,26213,03/16/2023
Western New York,Erie,724402,672293,03/16/2023
Mid-Hudson,Dutchess,234568,211021,03/16/2023
Southern Tier,Delaware,26894,24897,03/16/2023
Central New York,Cortland,30132,28432,03/16/2023
Capital Region,Columbia,46525,42393,03/16/2023
North Country,Clinton,60144,56297,03/16/2023
Southern Tier,Chenango,31637,29771,03/16/2023
Southern Tier,Chemung,50023,46920,03/16/2023
Western New York,Chautauqua,82780,76216,03/16/2023
Central New York,Cayuga,50329,47036,03/16/2023
Western New York,Cattaraugus,44461,41211,03/16/2023
Southern Tier,Broome,136911,127456,03/16/2023
New York City,Bronx,1238863,1099443,03/16/2023
Western New York,Allegany,23826,22219,03/16/2023
